
Data guard - 2026-09-26T08:20:53.757Z

| Table | Rows | Newest (col) |
|---|---:|---|
| profiles | 258 | 2026-09-26T07:58:36.824896+00:00 (updated_at) |
| quizzes | 434 | 2026-09-26T07:58:36.824896+00:00 (updated_at) |
| plays | 67767 | 2026-09-26T07:58:36.824896+00:00 (created_at) |
| quiz_comments | 17 | 2026-09-14T14:49:01.080769+00:00 (created_at) |
| quiz_reactions | 14 | 2026-07-20T08:51:40.066638+00:00 (created_at) |
| likes | 2833 | 2026-09-25T18:37:15.671239+00:00 (created_at) |
| follows | 58 | 2026-09-22T11:45:25.789883+00:00 (created_at) |
| user_badges | 1404 | - |
| creator_notifications | 1211 | 2026-09-26T06:40:56.164371+00:00 (created_at) |
| notification_prefs | 3 | 2026-08-31T21:23:15.058+00:00 (updated_at) |
| daily_blindtest_scores | 84 | 2026-09-25T15:29:06.15107+00:00 (created_at) |
| daily_challenge_plays | 0 | - |
| blind_test_plays | 140 | 2026-06-05T17:36:38.04596+00:00 (created_at) |
| activity_events | 7128 | 2026-09-26T07:58:36.824896+00:00 (created_at) |
| debate_votes | 42 | 2026-09-22T11:44:22.099988+00:00 (created_at) |

Rule 8: between a before/after pair, every Rows value may only grow and no Newest may move backwards.
