Date,Clics,Impressions,CTR,Position
2026-06-17,7,96,7.29%,10.6
2026-06-18,10,74,13.51%,9.9
2026-06-19,6,61,9.84%,10
2026-06-20,7,66,10.61%,11.8
2026-06-21,10,75,13.33%,9.2
2026-06-22,9,76,11.84%,11.2
2026-06-23,7,107,6.54%,12.6
2026-06-24,10,77,12.99%,10.1
2026-06-25,5,64,7.81%,12
2026-06-26,10,82,12.2%,9.5
2026-06-27,8,72,11.11%,11.2
2026-06-28,9,63,14.29%,10.1
2026-06-29,6,79,7.59%,13.8
2026-06-30,41,133,30.83%,17.7
2026-07-01,15,140,10.71%,10.2
2026-07-02,21,156,13.46%,9.1
2026-07-03,12,146,8.22%,6.7
2026-07-04,9,130,6.92%,8.9
2026-07-05,11,130,8.46%,9.4
2026-07-06,22,168,13.1%,8.2
2026-07-07,13,140,9.29%,8.5
2026-07-08,9,162,5.56%,8.8
2026-07-09,9,153,5.88%,9.4
2026-07-10,15,140,10.71%,8.9
2026-07-11,14,154,9.09%,10.4
2026-07-12,15,165,9.09%,9.2
2026-07-13,21,123,17.07%,10.2
2026-07-14,14,165,8.48%,10.6
2026-07-15,19,143,13.29%,11.6
2026-07-16,11,111,9.91%,10.2
2026-07-17,12,116,10.34%,9
2026-07-18,6,106,5.66%,10.3
2026-07-19,7,111,6.31%,10.5
2026-07-20,13,180,7.22%,9.1
2026-07-21,22,257,8.56%,10.3
2026-07-22,34,292,11.64%,7.8
2026-07-23,13,275,4.73%,9
2026-07-24,25,273,9.16%,8.6
2026-07-25,23,268,8.58%,9.8
2026-07-26,23,263,8.75%,8.7
2026-07-27,10,236,4.24%,8.9
2026-07-28,24,255,9.41%,9.2
2026-07-29,21,274,7.66%,9
2026-07-30,18,310,5.81%,8.6
2026-07-31,29,255,11.37%,8.3
2026-08-01,29,276,10.51%,7.9
2026-08-02,37,318,11.64%,8.7
2026-08-03,50,370,13.51%,8.3
2026-08-04,39,412,9.47%,8.1
2026-08-05,32,357,8.96%,7.8
2026-08-06,25,408,6.13%,7.2
2026-08-07,26,392,6.63%,7.4
2026-08-08,19,311,6.11%,7.5
2026-08-09,34,410,8.29%,8.1
2026-08-10,40,462,8.66%,7.5
2026-08-11,34,515,6.6%,7.6
2026-08-12,22,411,5.35%,8.3
2026-08-13,30,497,6.04%,8.7
2026-08-14,26,535,4.86%,7.8
2026-08-15,39,563,6.93%,8.5
2026-08-16,40,576,6.94%,7.6
2026-08-17,54,587,9.2%,7.3
2026-08-18,45,553,8.14%,7.5
2026-08-19,34,494,6.88%,7.2
2026-08-20,51,540,9.44%,7.5
2026-08-21,38,642,5.92%,7.7
2026-08-22,56,685,8.18%,7.4
2026-08-23,44,730,6.03%,7.4
2026-08-24,39,689,5.66%,7.5
2026-08-25,66,801,8.24%,7.9
2026-08-26,57,750,7.6%,8
2026-08-27,51,812,6.28%,7.8
2026-08-28,47,797,5.9%,7.7
2026-08-29,53,763,6.95%,7.7
2026-08-30,45,837,5.38%,7.3
2026-08-31,63,769,8.19%,7.3
2026-09-01,43,769,5.59%,7.5
2026-09-02,38,724,5.25%,7.7
2026-09-03,58,763,7.6%,7.6
2026-09-04,48,778,6.17%,7.3
2026-09-05,44,865,5.09%,7.5
2026-09-06,72,944,7.63%,7.2
2026-09-07,65,1158,5.61%,7.1
2026-09-08,64,1119,5.72%,7
2026-09-09,67,1219,5.5%,7.1
2026-09-10,97,1425,6.81%,6.9
2026-09-11,86,1807,4.76%,7.1
2026-09-12,114,1805,6.32%,7.1
2026-09-13,100,1597,6.26%,6.9
2026-09-14,110,1570,7.01%,7.3
2026-09-15,71,1279,5.55%,7.4
2026-09-16,84,1311,6.41%,7.6
